id,geoid,geo_name,county,state,total_pop,perc_white,perc_black,perc_nativ_indian_ak,perc_asian,perc_haw,perc_other,perc_two_more
1400000US48141010404,48141010404,Census Tract 104.04,El Paso County,Texas,4259,0.745714956562573,0.001408781404085,0.001173984503405,0.001408781404085,0,0.236910072787039,0.013383423338812
1400000US48063950102,48063950102,Census Tract 9501.02,Camp County,Texas,4259,0.819441183376379,0.080535336933553,0.001643578304766,0.001173984503405,0,0.062455975581122,0.034749941300775
1400000US48281950400,48281950400,Census Tract 9504,Lampasas County,Texas,4260,0.87981220657277,0.003286384976526,0.01150234741784,0.011971830985916,0.003286384976526,0.028638497652582,0.06150234741784
1400000US48347950700,48347950700,Census Tract 9507,Nacogdoches County,Texas,4263,0.556884822894675,0.359136758151536,0,0.066385174759559,0.00258034248182,0.007741027445461,0.007271874266948
1400000US48201233300,48201233300,Census Tract 2333,Harris County,Texas,4263,0.897724607084213,0,0.032136992728126,0,0,0.039408866995074,0.030729533192587
1400000US48223950200,48223950200,Census Tract 9502,Hopkins County,Texas,4263,0.908515130190007,0.002814919071077,0.012197982641332,0.000469153178513,0.003753225428102,0.030025803424818,0.042223786066151
1400000US48085031658,48085031658,Census Tract 316.58,Collin County,Texas,4265,0.597655334114889,0.142555685814771,0,0.196248534583822,0,0.039390386869871,0.024150058616647
1400000US48201432001,48201432001,Census Tract 4320.01,Harris County,Texas,4265,0.648769050410317,0.124970691676436,0,0.098710433763189,0,0.08042203985932,0.047127784290739
1400000US48073950900,48073950900,Census Tract 9509,Cherokee County,Texas,4267,0.625732364659011,0.329739864073119,0.020154675415983,0.006093273962972,0,0.001406140145301,0.016873681743614
1400000US48439113711,48439113711,Census Tract 1137.11,Tarrant County,Texas,4267,0.860089055542536,0.014764471525662,0.014998828216546,0.055308179048512,0,0.00867119756269,0.046168268104054
1400000US48183001300,48183001300,Census Tract 13,Gregg County,Texas,4268,0.617853795688847,0.330365510777882,0.005857544517338,0.007731958762887,0,0,0.038191190253046
1400000US48201341100,48201341100,Census Tract 3411,Harris County,Texas,4268,0.711574507966261,0.164714151827554,0.001874414245548,0.058106841611996,0,0.022258669165886,0.041471415182755
1400000US48201433202,48201433202,Census Tract 4332.02,Harris County,Texas,4269,0.334504567814476,0.08690559850082,0.006324666198173,0.219957835558679,0.003045209650972,0.342937456078707,0.006324666198173
1400000US48309003500,48309003500,Census Tract 35,McLennan County,Texas,4271,0.954577382346055,0.008663076562866,0.004682744088036,0,0,0.024584406462187,0.007492390540857
1400000US48453001819,48453001819,Census Tract 18.19,Travis County,Texas,4272,0.589419475655431,0.11001872659176,0.018960674157303,0.051498127340824,0,0.224953183520599,0.005149812734082
1400000US48439110202,48439110202,Census Tract 1102.02,Tarrant County,Texas,4272,0.617041198501873,0.00749063670412,0,0.062734082397004,0,0.298689138576779,0.014044943820225
