Crash ID,Agency,Case ID,County,Crash Date,Crash Death Count,Latitude,Longitude,Person Death Count,Person Type
13029257,SAN ANTONIO POLICE DEPARTMENT,SAPD12279961,BEXAR,2012-12-12,1,29.40972462,-98.58382838,1,4 - PEDESTRIAN
13068217,SAN ANTONIO POLICE DEPARTMENT,SAPD12287438,BEXAR,2012-12-21,1,29.43405916,-98.47808809,1,4 - PEDESTRIAN
13045402,SAN ANTONIO POLICE DEPARTMENT,SAPD12289130,BEXAR,2012-12-23,1,29.44952427,-98.57056026,1,4 - PEDESTRIAN
13044640,SAN ANTONIO POLICE DEPARTMENT,SAPD12289668,BEXAR,2012-12-24,1,29.35366669,-98.50390231,1,4 - PEDESTRIAN
13044681,SAN ANTONIO POLICE DEPARTMENT,SAPD12289737,BEXAR,2012-12-24,1,29.37187504,-98.44575238,1,4 - PEDESTRIAN
13060326,SAN ANTONIO POLICE DEPARTMENT,SAPD12293104,BEXAR,2012-12-30,1,29.40333532,-98.44332389,1,4 - PEDESTRIAN
13090223,LEON VALLEY POLICE DEPARTMENT,2013-0304,BEXAR,2013-01-15,1,29.49118117,-98.61299053,1,4 - PEDESTRIAN
13095413,SAN ANTONIO POLICE DEPARTMENT,SAPD13018791,BEXAR,2013-01-25,1,29.38598112,-98.45680232,1,4 - PEDESTRIAN
13106503,SAN ANTONIO POLICE DEPARTMENT,SAPD13023672,BEXAR,2013-01-31,1,29.49650454,-98.42777505,1,4 - PEDESTRIAN
13106481,SAN ANTONIO POLICE DEPARTMENT,SAPD13024699,BEXAR,2013-02-02,1,29.52059027,-98.50511839,1,4 - PEDESTRIAN
13128221,SAN ANTONIO POLICE DEPARTMENT,SAPD13035337,BEXAR,2013-02-16,1,29.48952696,-98.57421104,1,4 - PEDESTRIAN
13138770,SAN ANTONIO POLICE DEPARTMENT,SAPD13038220,BEXAR,2013-02-19,1,29.45679171,-98.47903429,1,4 - PEDESTRIAN
13143485,SAN ANTONIO POLICE DEPARTMENT,SAPD13042345,BEXAR,2013-02-25,1,29.42601507,-98.50372072,1,4 - PEDESTRIAN
13147585,SAN ANTONIO POLICE DEPARTMENT,sapd13041987,BEXAR,2013-02-25,1,29.39775196,-98.47937633,1,4 - PEDESTRIAN
13180038,SAN ANTONIO POLICE DEPARTMENT,SAPD13051602,BEXAR,2013-03-10,1,29.427609,-98.49132231,1,4 - PEDESTRIAN
13212691,SAN ANTONIO POLICE DEPARTMENT,SAPD13056758,BEXAR,2013-03-16,2,29.42011503,-98.47150027,1,4 - PEDESTRIAN
13212691,SAN ANTONIO POLICE DEPARTMENT,SAPD13056758,BEXAR,2013-03-16,2,29.42011503,-98.47150027,1,4 - PEDESTRIAN
13183821,SAN ANTONIO POLICE DEPARTMENT,SAPD13057509,BEXAR,2013-03-18,1,29.34896,-98.50388231,1,4 - PEDESTRIAN
13200280,SAN ANTONIO POLICE DEPARTMENT,SAPD13069132,BEXAR,2013-04-01,1,29.35664312,-98.53374644,1,4 - PEDESTRIAN
13228741,SAN ANTONIO POLICE DEPARTMENT,SAPD13082823,BEXAR,2013-04-19,1,29.51368369,-98.55000313,1,4 - PEDESTRIAN
13291223,SAN ANTONIO POLICE DEPARTMENT,sapd13114021,BEXAR,2013-05-29,1,29.36600608,-98.43951002,1,4 - PEDESTRIAN
13296543,SAN ANTONIO POLICE DEPARTMENT,SAPD13117357,BEXAR,2013-06-02,1,29.49656495,-98.38589757,1,4 - PEDESTRIAN
13295155,SAN ANTONIO POLICE DEPARTMENT,SAPD13118018,BEXAR,2013-06-03,1,29.42685632,-98.501077,1,4 - PEDESTRIAN
13319094,SAN ANTONIO POLICE DEPARTMENT,SAPD13129318,BEXAR,2013-06-16,1,29.53088146,-98.5618664,1,4 - PEDESTRIAN
13336744,SAN ANTONIO POLICE DEPARTMENT,SAPD13129569,BEXAR,2013-06-17,1,29.39197924,-98.65663062,1,4 - PEDESTRIAN
13333152,SAN ANTONIO POLICE DEPARTMENT,SAPD13135112,BEXAR,2013-06-23,1,29.51301291,-98.39720857,1,4 - PEDESTRIAN
